gene_symbol,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Trp53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Vegfa,NULL,8,9,NULL,NULL,21,NULL,NULL,14,NULL,2,NULL
Egfr,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL
Mthfr,NULL,22,22,NULL,NULL,22,NULL,22,22,NULL,NULL,22
Esr1,NULL,13,14,NULL,NULL,NULL,NULL,13,18,NULL,NULL,13
Tlr4,NULL,NULL,NULL,NULL,NULL,4,NULL,22,NULL,NULL,NULL,NULL
Nfkb1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
H2-Eb1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Ctnnb1,15,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL
Akt1,NULL,10,11,NULL,NULL,NULL,NULL,NULL,13,9,NULL,NULL
Ace,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Ptgs2,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,21,NULL,NULL,NULL
Lep,NULL,16,18,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL
Pparg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,0,NULL
H2-Ab1,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Mmp9,4,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,3
Cd4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Ar,NULL,18,21,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gstm2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Tlr2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
Hif1a,NULL,NULL,NULL,NULL,NULL,4,NULL,18,NULL,NULL,NULL,18
