CycID,BH.Q,ADJ.P,PER,LAG,AMP,Synonyms,min_rate,max_rate,phase
Arntl,4.24e-11,5.51e-14,24,23,703.9248007,,1e-06,0.0008402435599976504,6.021385919380437
Arntl2,0.8692339440000001,0.43147448200000005,26,2,3.5355339060000004,,1e-06,5.215186137515268e-06,0.5235987755982988
Ciart,2.22e-10,5.760000000000001e-13,24,12,219.2031022,Gm129,1e-06,0.0002623415405593292,3.141592653589793
Clock,1.8599999999999998e-10,4.689999999999999e-13,24,0,832.9717882,,1e-06,0.0009940978539346933,0.0
Cry1,4.0700000000000006e-11,4.96e-14,24,20,615.536453,,1e-06,0.000734863906500157,5.235987755982989
Cry2,2.72e-06,7.92e-08,24,12,361.1547885,,1e-06,0.0004315812639496884,3.141592653589793
Csnk1a1,1.0,1.0,24,2,348.60364310000006,,1e-06,0.00041661735312133094,0.5235987755982988
Csnk1d,1.0,1.0,28,11,118.0868325,,1e-06,0.00014178721704022245,2.8797932657906435
Csnk1e,1.0,1.0,22,1,17.67766953,,1e-06,2.207593068757634e-05,0.2617993877991494
Dbp,1.98e-12,7.14e-16,24,11,1984.4951809999998,,1e-06,0.0023669839784653595,2.8797932657906435
Fbxo21,1.23e-10,2.5e-13,24,7,2255.493855,,1e-06,0.0026900779960312093,1.8325957145940461
Fbxo3,1.0,1.0,26,7,298.7526151,,1e-06,0.00035718322867130635,1.8325957145940461
Hlf,6.28e-08,8.12e-10,24,13,355.6747109,,1e-06,0.00042504772538205456,3.4033920413889422
Nampt,2.89e-10,8.679999999999999e-13,24,14,2613.1131100000002,,1e-06,0.0031164440743274295,3.6651914291880923
Npas2,8.18e-10,4.25e-12,24,1,100.40916290000001,,1e-06,0.0001207112862691897,0.2617993877991494
Nr1d1,1.25e-13,1.02e-17,24,8,847.9978072999999,,1e-06,0.001012012395018537,2.0943951023931953
Nr1d2,3.71e-13,6.03e-17,24,10,2103.6426739999997,,1e-06,0.0025090357517381285,2.6179938779914944
Per1,7.7e-10,3.88e-12,24,13,351.07851689999995,,1e-06,0.00041956798349604055,3.4033920413889422
Per2,7.33e-11,1.1900000000000002e-13,24,15,1097.429724,,1e-06,0.0013093937765811395,3.9269908169872414
Per3,7.93e-12,7.0900000000000004e-15,24,12,903.5056897,,1e-06,0.0010781908174678982,3.141592653589793
Rora,1.0,1.0,26,25,429.74414630000007,,1e-06,0.0005133558750456214,6.544984694978736
Rorc,1.23e-08,1.1599999999999999e-10,24,18,2738.27101,,1e-06,0.0032656616632707053,4.71238898038469
Tef,1.35e-11,1.42e-14,24,12,4192.966436,,1e-06,0.005,3.141592653589793
