gene_symbol,phase_hours
202708_s_at,0.0
220644_at,18.0
221690_s_at,12.0
254622,14.999999999999996
254647,12.0
254941,12.0
2948588,12.0
326858,12.0
Abcc5,6.0
Actr2,6.0
Adh4,18.0
Afap1,0.0
Ahi1,18.0
Akirin2,18.0
Alkbh7,0.0
Ankrd10,3.0
Ankrd36c,12.0
Anln,18.0
Anp32e,18.0
Antxr1,0.0
Aoc2,0.0
Arglu1,3.0
Arhgap11a,12.0
Arhgap11b,12.0
Arhgef39,12.0
Arl4a,12.0
Arl6ip1,18.0
Asf1b,6.0
Asip,6.0
Asxl1,14.999999999999996
Atad2,6.0
Atl2,14.999999999999996
Atrip,3.0
Aurka,18.0
Aurkb,12.0
Birc2,18.0
Birc3,12.0
Birc5,18.0
Bmp2,14.999999999999996
Bora,14.999999999999996
Brca1,6.0
Brd8,12.0
Btbd3,18.0
Btnl9,14.999999999999996
Bub1,18.0
Bub1b,14.999999999999996
Bub3,14.999999999999996
C11orf82,12.0
C15orf23,18.0
C1orf2,0.0
C1orf63,0.0
C5orf42,6.0
Casp3,12.0
Ccdc107,12.0
Ccna2,12.0
Ccnb1,18.0
Ccnb2,18.0
Ccne1,0.0
Ccne2,0.0
Ccnf,12.0
Cd97,18.0
Cdc20,18.0
Cdc25a,0.0
Cdc25b,18.0
Cdc25c,12.0
Cdc27,18.0
Cdc6,3.0
Cdca2,12.0
Cdca3,14.999999999999996
Cdca5,12.0
Cdca7,0.0
Cdca7l,3.0
Cdca8,12.0
Cdh24,6.0
Cdk1,12.0
Cdkl5,12.0
Cdkn1b,12.0
Cdkn2aip,6.0
Cdkn2c,12.0
Cdkn3,0.0
Cenpa,14.999999999999996
Cenpe,18.0
Cenpf,18.0
Cenpl,12.0
Cenpq,6.0
Cep55,18.0
Cep70,18.0
Chaf1b,3.0
Cit,14.999999999999996
Ckap2,14.999999999999996
Ckap2l,12.0
Ckap5,18.0
Cks1b,14.999999999999996
Cks2,18.0
Clspn,3.0
Cnih4,0.0
Cntrob,14.999999999999996
Coq6,12.0
Crebzf,3.0
Ctnna1,14.999999999999996
Cyp4v2,12.0
Dcaf7,12.0
Dctpp1,12.0
Ddx11,6.0
Ddx58,0.0
Depdc1,18.0
Depdc1b,18.0
Dhfrl1,6.0
Dkc1p,0.0
Dlgap5,18.0
Dnah11,3.0
Dnajb1,18.0
Dnajb6,0.0
Dnmt3b,12.0
Donson,3.0
Dscc1,3.0
Dtl,0.0
Dynll1,0.0
E2f1,3.0
E2f2,3.0
E2f5,18.0
E2f8,6.0
Ect2,18.0
Efhc1,6.0
Eif5a2,14.999999999999996
Ern2,18.0
Esco2,12.0
Espl1,12.0
Etv4,0.0
Exo1,6.0
Ezh2,6.0
Fam102b,18.0
Fam111b,3.0
Fam214a,3.0
Fam216a,18.0
Fam64a,18.0
Fam72a,12.0
Fam72bp,12.0
Fam83d,12.0
Fam84b,0.0
Fancd2,12.0
Fanci,12.0
Fen1,3.0
Fopnl,18.0
Foxm1,14.999999999999996
Fzr1,12.0
G2e3,18.0
Gabpb1,14.999999999999996
Gas1,12.0
Gas2l3,14.999999999999996
Gas6,18.0
Gclm,12.0
Gcsam,18.0
Gins2,3.0
Gmnn,3.0
Golga8a,12.0
Gpsm2,18.0
Grpel1,0.0
Gse1,0.0
Gtse1,18.0
H1f0,12.0
H2afx,12.0
Hbg2,18.0
Hells,6.0
Hif1a,0.0
