gene,prior_acrophase_loc,prior_acrophase_95_interval
2210407C18Rik,0.3209837,0.39269908169872414
2310022B05Rik,2.6088567,0.39269908169872414
Ablim1,3.714388,0.39269908169872414
Adamts1,3.6034207,0.39269908169872414
Ahsa2,3.2270298,0.39269908169872414
Anln,0.2921916,0.39269908169872414
Arid5b,4.5191174,0.39269908169872414
Arntl,3.7798784,0.39269908169872414
Arrdc3,3.3415847,0.39269908169872414
Art3,4.726245,0.39269908169872414
Asb2,1.1570088,0.39269908169872414
Atf3,1.591032,0.39269908169872414
Bhlhe41,5.55643,0.39269908169872414
Bik,5.8503666,0.39269908169872414
Bmp3,1.220821,0.39269908169872414
Ccdc42,3.2995749,0.39269908169872414
Ccn1,0.08216378,0.39269908169872414
Cdkn1a,2.8173354,0.39269908169872414
Cebpb,0.15177001,0.39269908169872414
Cebpd,3.956741,0.39269908169872414
Cenpf,5.3809795,0.39269908169872414
Cirbp,2.9576523,0.39269908169872414
Clec2d,3.7415056,0.39269908169872414
Clock,3.9841528,0.39269908169872414
Coq10b,0.8791757,0.39269908169872414
Crispld2,2.925236,0.39269908169872414
Crybg3,1.2209557,0.39269908169872414
Cyb561,1.0001748,0.39269908169872414
Cyp51,2.5236478,0.39269908169872414
Cys1,3.9089289,0.39269908169872414
Dbp,2.5921357,0.39269908169872414
Dhrs3,0.34195065,0.39269908169872414
Eef2k,0.008661007,0.39269908169872414
Egr1,2.8898432,0.39269908169872414
Eln,3.206703,0.39269908169872414
Epb41,5.208661,0.39269908169872414
Ephx1,0.17323485,0.39269908169872414
Fabp3,4.159005,0.39269908169872414
Fam107a,3.1412354,0.39269908169872414
Fas,3.8191159,0.39269908169872414
Fdps,0.6864465,0.39269908169872414
Fibin,6.280836,0.39269908169872414
Fkbp5,4.8861537,0.39269908169872414
Fmo2,0.22715266,0.39269908169872414
Fmo3,0.013645829,0.39269908169872414
Fos,3.209067,0.39269908169872414
Foxs1,2.6583722,0.39269908169872414
Glul,0.42317617,0.39269908169872414
Gm47283,3.511389,0.39269908169872414
Hba-a1,2.688807,0.39269908169872414
Hba-a2,3.1509655,0.39269908169872414
Hbb-bs,2.6400688,0.39269908169872414
Hbb-bt,4.7737203,0.39269908169872414
Hes1,4.6915,0.39269908169872414
