gene,prior_acrophase_loc,prior_acrophase_95_interval
Igfbp5,2.454545,0.7853981633974483
Avp,2.08337,0.7853981633974483
Csnk1e,1.4198388,0.7853981633974483
Syt5,1.6274267,0.7853981633974483
Sez6l,5.564223,0.7853981633974483
Tef,1.5817413,0.7853981633974483
Crem,1.201819,0.7853981633974483
Pdgfa,4.832331,0.7853981633974483
Hsp90ab1,4.820173,0.7853981633974483
Slc6a17,1.7698221,0.7853981633974483
Nr1d2,1.3000886,0.7853981633974483
Ina,5.164716,0.7853981633974483
Ciart,1.1577309,0.7853981633974483
Chordc1,4.8531904,0.7853981633974483
Cry1,2.8053858,0.7853981633974483
Rab3c,0.94307965,0.7853981633974483
Nampt,0.56293505,0.7853981633974483
Dbp,1.4667164,0.7853981633974483
Idh1,5.2451916,0.7853981633974483
Dusp26,1.6372536,0.7853981633974483
Vgf,1.6905748,0.7853981633974483
Sqstm1,1.9990472,0.7853981633974483
Avpr1a,4.637758,0.7853981633974483
Dusp4,0.99159586,0.7853981633974483
Rgs16,1.3725419,0.7853981633974483
Nnat,2.4621649,0.7853981633974483
Cdkl5,4.33754,0.7853981633974483
Tubb5,5.5457115,0.7853981633974483
Pdcd4,1.629437,0.7853981633974483
Dusp3,1.2734573,0.7853981633974483
Lgi2,5.7020946,0.7853981633974483
Per2,2.45384,0.7853981633974483
Rasl11b,1.2034949,0.7853981633974483
Csnk1d,2.6333382,0.7853981633974483
Rasd1,3.8887098,0.7853981633974483
Bhlhe41,1.1452751,0.7853981633974483
Glul,4.1519747,0.7853981633974483
C1ql3,2.5021157,0.7853981633974483
Grb14,4.2940183,0.7853981633974483
Hlf,1.7214389,0.7853981633974483
Cyp51,4.869116,0.7853981633974483
Nefh,4.7520494,0.7853981633974483
Nfil3,4.208603,0.7853981633974483
Impact,2.1339362,0.7853981633974483
Cry2,1.3872793,0.7853981633974483
Pgm2l1,2.1868188,0.7853981633974483
Clock,3.5459487,0.7853981633974483
Per1,1.3851187,0.7853981633974483
Slc2a13,2.4201736,0.7853981633974483
Fam162a,3.0402915,0.7853981633974483
Per3,2.252204,0.7853981633974483
Hspa5,3.8653452,0.7853981633974483
Fbxo3,1.7325708,0.7853981633974483
Cnksr2,3.622061,0.7853981633974483
Csnk1a1,0.18870893,0.7853981633974483
Msmo1,4.7465463,0.7853981633974483
Rora,1.809626,0.7853981633974483
Hsp90aa1,4.963238,0.7853981633974483
Tubb2a,5.307518,0.7853981633974483
Fbxo21,0.45246768,0.7853981633974483
Nr1d1,1.1631035,0.7853981633974483
Chga,2.3495011,0.7853981633974483
Leo1,4.3084993,0.7853981633974483
Tarsl2,4.823387,0.7853981633974483
Trim2,4.619881,0.7853981633974483
Rsrp1,1.6748092,0.7853981633974483
Arntl,3.8796911,0.7853981633974483
Dlk1,2.0419865,0.7853981633974483
Fubp1,4.1998377,0.7853981633974483
Hsph1,4.5483866,0.7853981633974483
Abat,5.660206,0.7853981633974483
Iltifb,4.699112,0.7853981633974483
Cct7,4.7282248,0.7853981633974483
Prok2,1.1254843,0.7853981633974483
