gene_symbol,acrophase
2014-09-07 00:00:00,8.0
2014-09-09 00:00:00,8.0
2014-09-11 00:00:00,8.0
2014-09-15 00:00:00,8.0
A430005L14Rik,16.0
AI314976,16.0
AI413582,8.0
AI597468,8.0
Aaas,8.0
Aacs,8.0
Aars,16.0
Aarsd1,8.0
Aatf,0.0
Abcb7,16.0
Abce1,8.0
Abcf1,8.0
Abcf2,0.0
Abhd11,0.0
Abhd14a,8.0
Abhd16a,8.0
Acad8,8.0
Acat1,8.0
Acat2,8.0
Accs,16.0
Acd,8.0
Acer3,8.0
Acly,8.0
Aco2,8.0
Acot7,8.0
Acp1,16.0
Acp6,0.0
Acpl2,8.0
Acsl5,16.0
Actl6a,8.0
Actn4,8.0
Actr1a,8.0
Actr1b,0.0
Actr3,16.0
Acy1,0.0
Ada,8.0
Add3,16.0
Adh5,8.0
Adipor1,0.0
Adk,8.0
Ado,8.0
Adprh,0.0
Adrm1,8.0
Adsl,8.0
Aen,8.0
Aga,0.0
Agfg2,0.0
Agk,8.0
Agpat2,8.0
Agpat5,8.0
Agpat6,16.0
Ahcy,8.0
Ahsa1,8.0
Ahsa2,8.0
Aifm1,8.0
Aimp2,8.0
Ak2,8.0
Akap8,16.0
Akip1,8.0
Akr1b3,0.0
Akr1c13,16.0
Akr1e1,0.0
Akt2,0.0
Alad,8.0
Aldh18a1,0.0
Aldh7a1,8.0
Aldh9a1,8.0
Alg14,16.0
Alg3,8.0
Alg5,16.0
Alg6,8.0
Alg8,8.0
Alkbh7,8.0
Als2,8.0
Amd1,0.0
Anapc1,16.0
Anapc13,8.0
Anapc5,8.0
Angptl4,8.0
Ankle1,16.0
Ankrd10,8.0
Ankrd26,0.0
Ankrd32,8.0
Ankrd46,16.0
Anln,16.0
Anp32a,8.0
Anp32b,8.0
Anp32e,16.0
Anxa2,16.0
Anxa3,0.0
Ap1m1,8.0
Ap1s1,8.0
Ap2b1,8.0
Ap2s1,16.0
Ap3m1,16.0
Ap3s2,8.0
Apex1,8.0
Api5,8.0
Apip,16.0
Apitd1,8.0
Apmap,8.0
Apoa1bp,8.0
Apobec3,16.0
Apoo,8.0
Apool,8.0
Aprt,8.0
Arcn1,8.0
Arf1,8.0
Arf2,8.0
Arhgap11a,16.0
Arhgap19,16.0
Arhgdia,8.0
Arhgef39,16.0
Arl1,16.0
Arl2,8.0
Arl6,8.0
Arl6ip4,8.0
Arl6ip6,8.0
Armc8,8.0
Armcx3,16.0
Arpc5l,8.0
Arpp19,8.0
As3mt,16.0
Asb6,16.0
Ascc1,0.0
Asf1b,8.0
Asns,8.0
Asnsd1,16.0
Asrgl1,16.0
Ass1,8.0
Atad1,16.0
Atad2,8.0
Atad5,8.0
Atf1,16.0
Atf4,16.0
Atg5,0.0
Atic,0.0
Atl2,16.0
Atm,8.0
Atox1,8.0
Atp1b3,8.0
Atp2a3,16.0
Atp5d,8.0
Atp5e,8.0
Atp5f1,8.0
Atp5g1,8.0
Atp5g2,8.0
Atp5g3,8.0
Atp5h,8.0
Atp5j,8.0
Atp5j2,8.0
Atp5k,16.0
Atp5l,8.0
Atp5o,8.0
Atp6ap1,8.0
Atp6ap2,16.0
Atp6v1c1,16.0
