gene,prior_acrophase_loc,prior_acrophase_95_interval
Arntl,5.0155706,0.39269908169872414
Bhlhe41,3.597988,0.39269908169872414
Ciart,3.637119,0.39269908169872414
Clock,3.967088,0.39269908169872414
Cry1,2.5301943,0.39269908169872414
Cry2,4.3582664,0.39269908169872414
Csnk1a1,0.59284663,0.39269908169872414
Csnk1d,1.9896908,0.39269908169872414
Csnk1e,4.460555,0.39269908169872414
Dbp,4.6078258,0.39269908169872414
Fbxo21,1.4214692,0.39269908169872414
Fbxo3,5.443032,0.39269908169872414
Hlf,5.40806,0.39269908169872414
Nampt,1.7685127,0.39269908169872414
Nfil3,6.0488772,0.39269908169872414
Nr1d1,3.6539974,0.39269908169872414
Nr1d2,4.084349,0.39269908169872414
Per1,4.351479,0.39269908169872414
Per2,1.4257805,0.39269908169872414
Per3,0.7923221,0.39269908169872414
Rora,5.6851077,0.39269908169872414
Tef,4.9691873,0.39269908169872414
