gene,prior_acrophase_loc,prior_acrophase_95_interval
Crem,3.7756257,0.39269908169872414
Nr1d1,3.6539974,0.39269908169872414
Dbp,4.6078258,0.39269908169872414
Dusp26,5.1435843,0.39269908169872414
Dusp4,3.1151903,0.39269908169872414
Nr1d2,4.084349,0.39269908169872414
Rasl11b,3.780891,0.39269908169872414
Rgs16,4.311968,0.39269908169872414
Dusp3,4.0006843,0.39269908169872414
Pdcd4,5.119027,0.39269908169872414
Prok2,3.5358136,0.39269908169872414
Syt5,5.112712,0.39269908169872414
Tef,4.9691873,0.39269908169872414
Vgf,5.3110976,0.39269908169872414
Avp,0.2619145,0.39269908169872414
C1ql3,1.5774431,0.39269908169872414
Chga,1.0979903,0.39269908169872414
Dlk1,0.13190438,0.39269908169872414
Hlf,5.40806,0.39269908169872414
Nnat,1.4519339,0.39269908169872414
Per2,1.4257805,0.39269908169872414
Pgm2l1,0.5869087,0.39269908169872414
Rab3c,2.9627721,0.39269908169872414
Rsrp1,5.2615685,0.39269908169872414
Slc2a13,1.3200145,0.39269908169872414
Slc6a17,5.5600605,0.39269908169872414
Sqstm1,6.280192,0.39269908169872414
Igfbp5,1.4279953,0.39269908169872414
Impact,0.42077288,0.39269908169872414
Fam162a,3.2681723,0.39269908169872414
Hspa5,4.9705014,0.39269908169872414
Rasd1,5.0439034,0.39269908169872414
Cnksr2,4.2062016,0.39269908169872414
Glul,5.8709745,0.39269908169872414
Grb14,0.03403258,0.39269908169872414
Leo1,0.07952619,0.39269908169872414
Avpr1a,1.1139221,0.39269908169872414
Cct7,1.3981322,0.39269908169872414
Cdkl5,0.17076023,0.39269908169872414
Hsph1,0.83315307,0.39269908169872414
Iltifb,1.3066715,0.39269908169872414
Msmo1,1.4556912,0.39269908169872414
Nefh,1.4729793,0.39269908169872414
Pdgfa,1.7251917,0.39269908169872414
Tarsl2,1.697094,0.39269908169872414
Trim2,1.0577607,0.39269908169872414
Chordc1,1.7907242,0.39269908169872414
Cyp51,1.8407545,0.39269908169872414
Fubp1,6.021341,0.39269908169872414
Hsp90aa1,2.1364472,0.39269908169872414
Hsp90ab1,1.686995,0.39269908169872414
Idh1,3.022232,0.39269908169872414
Tubb2a,3.2180364,0.39269908169872414
Abat,4.326038,0.39269908169872414
Ina,2.7694094,0.39269908169872414
Lgi2,4.457634,0.39269908169872414
Sez6l,4.024497,0.39269908169872414
Tubb5,3.966342,0.39269908169872414
